treatment,replicate,time to death (days),experiment
28,13,33,standard
28,14,33,standard
28,15,34,standard
28,16,42,standard
28,17,43,standard
28,18,46,standard
28,19,54,standard
28,20,63,standard
28,21,31,standard
28,22,33,standard
28,23,39,standard
28,24,40,standard
28,25,42,standard
28,26,43,standard
28,27,43,standard
28,28,46,standard
28,29,49,standard
28,30,62,standard
28,31,20,standard
28,32,30,standard
28,33,38,standard
28,34,39,standard
28,35,44,standard
28,36,46,standard
28,37,47,standard
28,38,49,standard
28,39,56,standard
28,40,65,standard
28,41,41,standard
28,42,44,standard
28,43,44,standard
28,44,45,standard
28,45,50,standard
28,46,50,standard
28,47,50,standard
28,48,50,standard
28,49,53,standard
28,50,56,standard
29,1,23,standard
29,2,30,standard
29,3,34,standard
29,4,40,standard
29,5,40,standard
29,6,41,standard
29,7,46,standard
29,8,46,standard
29,9,52,standard
29,10,53,standard
29,11,41,standard
29,12,45,standard
29,13,46,standard
29,14,49,standard
29,15,49,standard
29,16,49,standard
29,17,51,standard
29,18,61,standard
29,19,64,standard
29,20,68,standard
29,21,38,standard
29,22,41,standard
29,23,49,standard
29,24,49,standard
29,25,49,standard
29,26,49,standard
29,27,49,standard
29,28,50,standard
29,29,57,standard
29,30,61,standard
29,31,16,standard
29,32,40,standard
29,33,44,standard
29,34,45,standard
29,35,47,standard
29,36,50,standard
29,37,51,standard
29,38,53,standard
29,39,55,standard
29,40,56,standard
29,41,14,standard
29,42,23,standard
29,43,26,standard
29,44,32,standard
29,45,35,standard
29,46,45,standard
29,47,50,standard
29,48,50,standard
29,49,56,standard
29,50,61,standard
31,1,29,standard
31,2,33,standard
31,3,38,standard
31,4,40,standard
31,5,40,standard
31,6,46,standard
31,7,49,standard
31,8,50,standard
31,9,54,standard
31,10,55,standard
31,11,31,standard
31,12,34,standard
31,13,37,standard
31,14,41,standard
31,15,43,standard
31,16,45,standard
31,17,53,standard
31,18,54,standard
31,19,60,standard
31,20,69,standard
31,21,36,standard
31,22,38,standard
31,23,40,standard
31,24,44,standard
31,25,46,standard
31,26,48,standard
31,27,55,standard
31,28,55,standard
31,29,62,standard
31,30,65,standard
31,31,11,standard
31,32,14,standard
31,33,27,standard
31,34,30,standard
31,35,44,standard
31,36,44,standard
31,37,50,standard
31,38,52,standard
31,39,55,standard
31,40,58,standard
31,41,21,standard
31,42,25,standard
31,43,27,standard
31,44,34,standard
31,45,44,standard
31,46,46,standard
31,47,47,standard
31,48,49,standard
31,49,50,standard
31,50,54,standard
32,1,28,standard
32,2,38,standard
32,3,49,standard
32,4,50,standard
32,5,51,standard
32,6,53,standard
32,7,58,standard
32,8,61,standard
32,9,62,standard
32,10,63,standard
32,11,31,standard
32,12,53,standard
32,13,60,standard
32,14,63,standard
32,15,64,standard
32,16,64,standard
32,17,68,standard
32,18,69,standard
32,19,70,standard
32,20,77,standard
32,21,42,standard
32,22,50,standard
32,23,52,standard
32,24,53,standard
32,25,59,standard
32,26,61,standard
32,27,67,standard
32,28,67,standard
32,29,74,standard
32,30,74,standard
32,31,24,standard
32,32,30,standard
32,33,33,standard
32,34,44,standard
32,35,50,standard
32,36,53,standard
32,37,55,standard
32,38,67,standard
32,39,69,standard
32,40,72,standard
