sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['BA' 'BOV']_4,0.0,2.0657598499061915,0.0,0.5479591836734693,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOB']_1,0.0,0.9476172607879922,0.03227485684539302,0.0,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOB']_2,0.0,1.0042589118198872,0.15988200589970475,0.0,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOB']_3,0.0,0.9657410881801121,0.08504251258025303,0.0,0.0,0.0,0.0,0.0,0.0
pair_['BA' 'BOB']_4,0.0,0.9861726078799249,0.10740933541558212,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'LJ']_1,0.8849171924290226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482346964693932
pair_['AM' 'LJ']_2,1.0429416403785488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.950736601473203
pair_['AM' 'LJ']_3,0.9207216088328086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771145542291087
pair_['AM' 'LJ']_4,1.0075118296529975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9222250444500891
pair_['AM' 'LB']_1,2.6413249211356478,0.0,0.0,0.0,0.0,0.0,0.0,0.9939232167196731,0.0
pair_['AM' 'LB']_2,2.7770701892744487,0.0,0.0,0.0,0.0,0.0,0.0,1.069559291231258,0.0
pair_['AM' 'LB']_3,2.6658714511041017,0.0,0.0,0.0,0.0,0.0,0.0,1.0260790549750114,0.0
pair_['AM' 'LB']_4,2.752898264984228,0.0,0.0,0.0,0.0,0.0,0.0,1.0375283961835529,0.0
pair_['AM' 'FP']_1,0.17383675078864397,0.0,0.0,0.0,0.0,0.0,0.6599604221635884,0.0,0.0
pair_['AM' 'FP']_2,0.36352523659306024,0.0,0.0,0.0,0.0,0.0,0.8437994722955149,0.0,0.0
pair_['AM' 'FP']_3,0.23028391167192555,0.0,0.0,0.0,0.0,0.0,0.7017590149516273,0.0,0.0
pair_['AM' 'FP']_4,0.3075709779179815,0.0,0.0,0.0,0.0,0.0,0.8021987686895343,0.0,0.0
pair_['AM' 'EC']_1,0.014688485804416493,0.0,0.0,0.0,0.0,0.6923959218351738,0.0,0.0,0.0
pair_['AM' 'EC']_2,0.2424881703470033,0.0,0.0,0.0,0.0,0.7251593033135088,0.0,0.0,0.0
pair_['AM' 'EC']_3,0.09061514195583631,0.0,0.0,0.0,0.0,0.6959005947323702,0.0,0.0,0.0
pair_['AM' 'EC']_4,0.16727129337539534,0.0,0.0,0.0,0.0,0.7216864910790142,0.0,0.0,0.0
pair_['AM' 'BT']_1,0.04656940063091557,0.0,0.0,0.0,1.2777869871529215,0.0,0.0,0.0,0.0
pair_['AM' 'BT']_2,0.19759463722397516,0.0,0.0,0.0,1.3205967675093244,0.0,0.0,0.0,0.0
pair_['AM' 'BT']_3,0.0761041009463728,0.0,0.0,0.0,1.2919394944053042,0.0,0.0,0.0,0.0
pair_['AM' 'BT']_4,0.1683753943217678,0.0,0.0,0.0,1.306485702445089,0.0,0.0,0.0,0.0
pair_['AM' 'BOV']_1,2.2513012618296537,0.0,0.0,1.0744897959183677,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOV']_2,2.4240141955835965,0.0,0.0,1.1037276134943774,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOV']_3,2.3128746056782346,0.0,0.0,1.0820907955018746,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOV']_4,2.3629929022082026,0.0,0.0,1.096168263223657,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOB']_1,2.961829652996846,0.0,0.8776158250910985,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOB']_2,3.055323343848581,0.0,0.9723234426513969,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOB']_3,2.9927050473186125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BOB']_4,3.0246451104100953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BA']_1,0.20276025236593156,0.9128142589118194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
