analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,8,275,distributed,lambda=0.1,3,0.3655204165196117
carlstrom_phyllosphere_2019,8,275,distributed,lambda=1,3,0.2977415536518042
carlstrom_phyllosphere_2019,8,275,distributed,lambda=10,3,0.19341519312267566
carlstrom_phyllosphere_2019,9,20,distributed,lambda=0.01,2,0.1388888888888889
carlstrom_phyllosphere_2019,9,20,distributed,lambda=0.1,2,0.1388888888888889
carlstrom_phyllosphere_2019,9,20,distributed,lambda=1,2,0.1388888888888889
carlstrom_phyllosphere_2019,9,20,distributed,lambda=10,2,0.1388888888888889
carlstrom_phyllosphere_2019,9,50,restricted,lambda=0.01,3,0.155026455026455
carlstrom_phyllosphere_2019,9,50,restricted,lambda=0.1,3,0.13518518518518519
carlstrom_phyllosphere_2019,9,50,restricted,lambda=1,3,0.12382154882154883
