analysis_set,budget_pairs,comparison,metric,partitions,mean_difference,sd_difference,median_difference,win_fraction,tie_fraction
schafer_phyllosphere_2022,200,LENS distributed minus OneNet,auroc,20,0.004902126762002912,0.19199757539140436,0.043990338771916215,0.7,0.0
schafer_phyllosphere_2022,200,LENS restricted minus Fixed mean,auprc,20,-0.02915193980468054,0.13189198712492373,0.0,0.4,0.2
schafer_phyllosphere_2022,200,LENS restricted minus Fixed mean,auroc,20,-0.037170615669206056,0.06981183147878313,-0.007922759265511836,0.25,0.2
schafer_phyllosphere_2022,200,LENS restricted minus OneNet,auprc,20,0.053936791962816186,0.20670553687426912,0.07765420130917164,0.65,0.0
schafer_phyllosphere_2022,200,LENS restricted minus OneNet,auroc,20,0.03246845838825462,0.12495910310793511,0.011976715318651465,0.6,0.0
schafer_phyllosphere_2022,357,LENS distributed minus Fixed mean,auprc,20,0.026147514142890647,0.1095131088920217,0.0515147021525445,0.65,0.0
schafer_phyllosphere_2022,357,LENS distributed minus Fixed mean,auroc,20,-0.005490804179114755,0.043242051820480215,0.005647313994469161,0.55,0.0
schafer_phyllosphere_2022,357,LENS distributed minus LENS restricted,auprc,20,0.0517984154228581,0.1237785382475936,0.0586766090226751,0.7,0.0
schafer_phyllosphere_2022,357,LENS distributed minus LENS restricted,auroc,20,0.08194306302773655,0.15150556481018077,0.021725423897369756,0.65,0.0
schafer_phyllosphere_2022,357,LENS distributed minus OneNet,auprc,20,0.10923624591038739,0.20649394525322756,0.1389125651714284,0.8,0.0
schafer_phyllosphere_2022,357,LENS distributed minus OneNet,auroc,20,0.06414826987834592,0.11550134885768126,0.017651211744460382,0.7,0.0
schafer_phyllosphere_2022,357,LENS restricted minus Fixed mean,auprc,20,-0.025650901279967452,0.13396945483963393,-0.011930730685777546,0.45,0.05
schafer_phyllosphere_2022,357,LENS restricted minus Fixed mean,auroc,20,-0.08743386720685131,0.1488404604035179,-0.024972413323343046,0.3,0.1
schafer_phyllosphere_2022,357,LENS restricted minus OneNet,auprc,20,0.05743783048752928,0.25745693573936407,0.05634382508992704,0.7,0.0
schafer_phyllosphere_2022,357,LENS restricted minus OneNet,auroc,20,-0.017794793149390635,0.22054223394336792,0.011541292777904555,0.6,0.0
