analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
schafer_phyllosphere_2022,2,2,1000,1000,21,979,305,8,lambda=0.01,0.3082112332112332,0.15286006938967467,0.15535116382155856,0.90993265993266,0.8465909090909091
schafer_phyllosphere_2022,2,2,maximum,1219,30,1189,305,8,lambda=0.01,0.3602997118622119,0.15286006938967467,0.2074396424725372,0.9162457912457912,0.8465909090909091
schafer_phyllosphere_2022,2,3,10,10,0,10,305,8,lambda=0.01,0.12732702755004272,0.21847783808719268,-0.09115081053714996,0.8724747474747475,0.6858164983164983
schafer_phyllosphere_2022,2,3,20,20,1,19,305,8,lambda=0.01,0.12732702755004272,0.21847783808719268,-0.09115081053714996,0.8724747474747475,0.6858164983164983
schafer_phyllosphere_2022,2,3,50,50,2,48,305,8,lambda=10,0.12732702755004272,0.21847783808719268,-0.09115081053714996,0.8724747474747475,0.6858164983164983
schafer_phyllosphere_2022,2,3,100,100,4,96,305,8,lambda=0.01,0.21546054700901512,0.21847783808719268,-0.003017291078177553,0.7727272727272727,0.6858164983164983
schafer_phyllosphere_2022,2,3,200,200,7,193,305,8,lambda=0.1,0.21431305371839351,0.21847783808719268,-0.004164784368799163,0.9074074074074074,0.6858164983164983
schafer_phyllosphere_2022,2,3,500,500,12,488,305,8,lambda=10,0.2211039438206621,0.21847783808719268,0.002626105733469414,0.9154040404040404,0.6858164983164983
schafer_phyllosphere_2022,2,3,1000,1000,25,975,305,8,lambda=0.01,0.2764380434516765,0.21847783808719268,0.05796020536448382,0.901936026936027,0.6858164983164983
schafer_phyllosphere_2022,2,3,maximum,1219,30,1189,305,8,lambda=0.01,0.2987626262626263,0.21847783808719268,0.08028478817543361,0.9116161616161617,0.6858164983164983
schafer_phyllosphere_2022,2,4,10,10,0,10,305,8,lambda=0.01,0.5317753593387322,0.2173079291981731,0.3144674301405591,0.9473905723905724,0.9248737373737373
schafer_phyllosphere_2022,2,4,20,20,0,20,305,8,lambda=0.01,0.5317753593387322,0.2173079291981731,0.3144674301405591,0.9473905723905724,0.9248737373737373
schafer_phyllosphere_2022,2,4,50,50,0,50,305,8,lambda=0.01,0.5317753593387322,0.2173079291981731,0.3144674301405591,0.9473905723905724,0.9248737373737373
schafer_phyllosphere_2022,2,4,100,100,1,99,305,8,lambda=0.01,0.5317753593387322,0.2173079291981731,0.3144674301405591,0.9473905723905724,0.9248737373737373
schafer_phyllosphere_2022,2,4,200,200,5,195,305,8,lambda=10,0.4695681511470985,0.2173079291981731,0.2522602219489254,0.9339225589225588,0.9248737373737373
schafer_phyllosphere_2022,2,4,500,500,12,488,305,8,lambda=0.01,0.5039487252984706,0.2173079291981731,0.28664079610029747,0.9259259259259258,0.9248737373737373
schafer_phyllosphere_2022,2,4,1000,1000,22,978,305,8,lambda=0.01,0.38451279143498196,0.2173079291981731,0.16720486223680886,0.944023569023569,0.9248737373737373
schafer_phyllosphere_2022,2,4,maximum,1219,30,1189,305,8,lambda=0.01,0.3923315814620162,0.2173079291981731,0.1750236522638431,0.9452861952861953,0.9248737373737373
schafer_phyllosphere_2022,2,5,10,10,1,9,304,7,lambda=0.01,0.2555504019789734,0.13345705086686754,0.12209335111210584,0.9393939393939394,0.8804713804713804
schafer_phyllosphere_2022,2,5,20,20,2,18,304,7,lambda=10,0.2555504019789734,0.13345705086686754,0.12209335111210584,0.9393939393939394,0.8804713804713804
schafer_phyllosphere_2022,2,5,50,50,2,48,304,7,lambda=10,0.2555504019789734,0.13345705086686754,0.12209335111210584,0.9393939393939394,0.8804713804713804
schafer_phyllosphere_2022,2,5,100,100,3,97,304,7,lambda=10,0.11102356694342927,0.13345705086686754,-0.022433483923438274,0.8706108706108706,0.8804713804713804
schafer_phyllosphere_2022,2,5,200,200,7,193,304,7,lambda=0.01,0.21212095125304153,0.13345705086686754,0.07866390038617399,0.7869167869167869,0.8804713804713804
schafer_phyllosphere_2022,2,5,500,500,13,487,304,7,lambda=10,0.24278800951274818,0.13345705086686754,0.10933095864588063,0.9408369408369408,0.8804713804713804
schafer_phyllosphere_2022,2,5,1000,1000,27,973,304,7,lambda=0.01,0.27705706271949465,0.13345705086686754,0.1436000118526271,0.9422799422799423,0.8804713804713804
schafer_phyllosphere_2022,2,5,maximum,1220,31,1189,304,7,lambda=0.01,0.31577157178660936,0.13345705086686754,0.18231452091974182,0.9461279461279462,0.8804713804713804
