analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,1,0.4,logistic,l2_C=0.1,3,0.29496015269531245
carlstrom_phyllosphere_2019,1,0.4,logistic,l2_C=1,3,0.28042527879552304
carlstrom_phyllosphere_2019,1,0.4,logistic,l1_C=0.01,3,0.13383838383838384
carlstrom_phyllosphere_2019,1,0.4,logistic,l1_C=0.1,3,0.34891660455368445
carlstrom_phyllosphere_2019,1,0.4,logistic,l1_C=1,3,0.27999932374144043
carlstrom_phyllosphere_2019,1,0.4,ranking,C=0.01,3,0.2805360710862625
carlstrom_phyllosphere_2019,1,0.4,ranking,C=0.1,3,0.267741778465646
carlstrom_phyllosphere_2019,1,0.4,ranking,C=1,3,0.26253394929114776
carlstrom_phyllosphere_2019,1,0.4,boosting,depth=1_l2=1,3,0.30318370695567004
carlstrom_phyllosphere_2019,1,0.4,boosting,depth=2_l2=1,3,0.34126186931156494
carlstrom_phyllosphere_2019,1,0.6,logistic,l2_C=0.01,3,0.31584860156176015
carlstrom_phyllosphere_2019,1,0.6,logistic,l2_C=0.1,3,0.3147035566993133
carlstrom_phyllosphere_2019,1,0.6,logistic,l2_C=1,3,0.30021234958801385
carlstrom_phyllosphere_2019,1,0.6,logistic,l1_C=0.01,3,0.13131313131313133
carlstrom_phyllosphere_2019,1,0.6,logistic,l1_C=0.1,3,0.3092994505901879
carlstrom_phyllosphere_2019,1,0.6,logistic,l1_C=1,3,0.29710051781770824
carlstrom_phyllosphere_2019,1,0.6,ranking,C=0.01,3,0.3053625478549165
carlstrom_phyllosphere_2019,1,0.6,ranking,C=0.1,3,0.3071951152341624
carlstrom_phyllosphere_2019,1,0.6,ranking,C=1,3,0.30634067989119435
carlstrom_phyllosphere_2019,1,0.6,boosting,depth=1_l2=1,3,0.25492084053382263
carlstrom_phyllosphere_2019,1,0.6,boosting,depth=2_l2=1,3,0.2666441554190715
carlstrom_phyllosphere_2019,1,0.8,logistic,l2_C=0.01,3,0.23364979846564307
carlstrom_phyllosphere_2019,1,0.8,logistic,l2_C=0.1,3,0.2484805139117957
carlstrom_phyllosphere_2019,1,0.8,logistic,l2_C=1,3,0.25598375885782415
carlstrom_phyllosphere_2019,1,0.8,logistic,l1_C=0.01,3,0.12389100126742712
carlstrom_phyllosphere_2019,1,0.8,logistic,l1_C=0.1,3,0.268392942984363
carlstrom_phyllosphere_2019,1,0.8,logistic,l1_C=1,3,0.2526161820915873
carlstrom_phyllosphere_2019,1,0.8,ranking,C=0.01,3,0.2526334356270734
carlstrom_phyllosphere_2019,1,0.8,ranking,C=0.1,3,0.2612841056272692
carlstrom_phyllosphere_2019,1,0.8,ranking,C=1,3,0.2597167379415956
carlstrom_phyllosphere_2019,1,0.8,boosting,depth=1_l2=1,3,0.24101863217980254
carlstrom_phyllosphere_2019,1,0.8,boosting,depth=2_l2=1,3,0.2413617646385786
carlstrom_phyllosphere_2019,2,0.2,logistic,l2_C=0.01,3,0.1979334239800874
carlstrom_phyllosphere_2019,2,0.2,logistic,l2_C=0.1,3,0.1834083964418748
carlstrom_phyllosphere_2019,2,0.2,logistic,l2_C=1,3,0.17140573204582651
carlstrom_phyllosphere_2019,2,0.2,logistic,l1_C=0.01,3,0.12121212121212122
carlstrom_phyllosphere_2019,2,0.2,logistic,l1_C=0.1,3,0.2163054154047412
carlstrom_phyllosphere_2019,2,0.2,logistic,l1_C=1,3,0.17636753732943755
carlstrom_phyllosphere_2019,2,0.2,ranking,C=0.01,3,0.1739939264458333
carlstrom_phyllosphere_2019,2,0.2,ranking,C=0.1,3,0.16726302594709988
carlstrom_phyllosphere_2019,2,0.2,ranking,C=1,3,0.16525212541704867
carlstrom_phyllosphere_2019,2,0.2,boosting,depth=1_l2=1,3,0.18247366071676
carlstrom_phyllosphere_2019,2,0.2,boosting,depth=2_l2=1,3,0.19040005101061577
carlstrom_phyllosphere_2019,2,0.4,logistic,l2_C=0.01,3,0.2998549283061716
carlstrom_phyllosphere_2019,2,0.4,logistic,l2_C=0.1,3,0.2876819376381268
carlstrom_phyllosphere_2019,2,0.4,logistic,l2_C=1,3,0.271639601017785
carlstrom_phyllosphere_2019,2,0.4,logistic,l1_C=0.01,3,0.13636363636363635
carlstrom_phyllosphere_2019,2,0.4,logistic,l1_C=0.1,3,0.3262507631418454
carlstrom_phyllosphere_2019,2,0.4,logistic,l1_C=1,3,0.27088304001252
carlstrom_phyllosphere_2019,2,0.4,ranking,C=0.01,3,0.2705293109087912
carlstrom_phyllosphere_2019,2,0.4,ranking,C=0.1,3,0.2889928783752216
carlstrom_phyllosphere_2019,2,0.4,ranking,C=1,3,0.2866006720045537
carlstrom_phyllosphere_2019,2,0.4,boosting,depth=1_l2=1,3,0.2571624337851287
carlstrom_phyllosphere_2019,2,0.4,boosting,depth=2_l2=1,3,0.2594359018780134
carlstrom_phyllosphere_2019,2,0.6,logistic,l2_C=0.01,3,0.27227195270939686
carlstrom_phyllosphere_2019,2,0.6,logistic,l2_C=0.1,3,0.2671485640422124
carlstrom_phyllosphere_2019,2,0.6,logistic,l2_C=1,3,0.24933559364812555
carlstrom_phyllosphere_2019,2,0.6,logistic,l1_C=0.01,3,0.12457912457912458
carlstrom_phyllosphere_2019,2,0.6,logistic,l1_C=0.1,3,0.2904181808642586
carlstrom_phyllosphere_2019,2,0.6,logistic,l1_C=1,3,0.2566672408455944
carlstrom_phyllosphere_2019,2,0.6,ranking,C=0.01,3,0.24766425594379302
carlstrom_phyllosphere_2019,2,0.6,ranking,C=0.1,3,0.2372640527100145
carlstrom_phyllosphere_2019,2,0.6,ranking,C=1,3,0.23107330089526004
carlstrom_phyllosphere_2019,2,0.6,boosting,depth=1_l2=1,3,0.23541152418270714
carlstrom_phyllosphere_2019,2,0.6,boosting,depth=2_l2=1,3,0.23398867814914417
carlstrom_phyllosphere_2019,2,0.8,logistic,l2_C=0.01,3,0.2863959656200034
carlstrom_phyllosphere_2019,2,0.8,logistic,l2_C=0.1,3,0.26259153100574983
carlstrom_phyllosphere_2019,2,0.8,logistic,l2_C=1,3,0.2417424458250368
carlstrom_phyllosphere_2019,2,0.8,logistic,l1_C=0.01,3,0.12389100126742712
carlstrom_phyllosphere_2019,2,0.8,logistic,l1_C=0.1,3,0.29268827561295524
carlstrom_phyllosphere_2019,2,0.8,logistic,l1_C=1,3,0.23778595894027932
carlstrom_phyllosphere_2019,2,0.8,ranking,C=0.01,3,0.2432339475972085
carlstrom_phyllosphere_2019,2,0.8,ranking,C=0.1,3,0.237717398091612
carlstrom_phyllosphere_2019,2,0.8,ranking,C=1,3,0.2431401311033695
carlstrom_phyllosphere_2019,2,0.8,boosting,depth=1_l2=1,3,0.21484849906226164
carlstrom_phyllosphere_2019,2,0.8,boosting,depth=2_l2=1,3,0.2182209381167839
carlstrom_phyllosphere_2019,3,0.2,logistic,l2_C=0.01,3,0.2228660802350757
carlstrom_phyllosphere_2019,3,0.2,logistic,l2_C=0.1,3,0.21962281839846942
