repeat,fold,training_positives,training_neutrals,single_class_training,inner_tuning_available,selected_setting,nonzero_coefficients,coefficient_l1_norm,intercept,prediction_min,prediction_max,prediction_sd,unique_predictions,test_pairs,test_positives,positive_frequency,supervised_auprc,onenet_auprc,mean_three_scores_auprc,three_scores_auprc,three_scores_plus_joint_prevalence_auprc,fixed_mean_score_auprc,adaptive_simple_auprc
18,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21894203907750706,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.304957153280324,0.304957153280324
18,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1189554189610532,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.1725246067466812,0.1725246067466812
18,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.14660252579639443,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.28155638829980933,0.28155638829980933
18,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.24469479976998773,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.2448336823752106,0.2448336823752106
19,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.05453559709475669,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.11593855043314524,0.11593855043314524
19,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.07837634165473922,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.09030413599158599,0.09030413599158599
19,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2081203587984293,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.25997074888307725,0.25997074888307725
19,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21699771269916196,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.385651323545172,0.385651323545172
19,5,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.4991222295369761,0.5617063492063492,0.16618729043042038,0.20131725976124318,0.5617063492063492,0.5617063492063492
20,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.05484345010987705,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.1086293638141615,0.1086293638141615
20,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.19215768799102131,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.36185793373293373,0.36185793373293373
20,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.11808817056458566,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.0828876588898289,0.0828876588898289
20,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2677745227314193,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.37566901736256575,0.37566901736256575
20,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.28106575963718816,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.3649101361173517,0.3649101361173517
