analysis_set,design,taxon_fraction,feature_set,valid_repeats,mean_calibration_pairs,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_f1,sd_f1,score_only_auprc,change_from_scores
schafer_phyllosphere_2022,distributed_pairs,0.6,combined,200,542.39,1.0,0.2607742709013328,0.06285908419290959,0.9054473111600775,0.029895765793713478,0.23229923875937317,0.07400929838450754,0.221049948495819,0.03972432240551382
schafer_phyllosphere_2022,distributed_pairs,0.6,direct_abundance,200,542.39,1.0,0.14551368473013418,0.048658791733380204,0.792767267144015,0.03982629371774216,0.14944941051002758,0.07568236292910564,0.221049948495819,-0.07553626376568481
schafer_phyllosphere_2022,distributed_pairs,0.6,network_scores,200,542.39,1.0,0.221049948495819,0.05279148620151309,0.8924757230033049,0.0384576446556119,0.22020440018430437,0.07611728710832866,0.221049948495819,0.0
schafer_phyllosphere_2022,distributed_pairs,0.6,selected_unsupervised,200,542.39,1.0,0.21460706846606045,0.057503833040092336,0.8881750349305161,0.06306765144158412,0.2097907957869843,0.059959551654081934,0.221049948495819,-0.006442880029758541
schafer_phyllosphere_2022,taxon_panel,0.2,combined,191,62.717277486910994,0.6910994764397905,0.07083212894345375,0.05876061882955292,0.6386185272623226,0.133489683955895,0.04744612442307068,0.06800352787003408,0.10231858579631352,-0.031486456852859765
schafer_phyllosphere_2022,taxon_panel,0.2,direct_abundance,191,62.717277486910994,0.6910994764397905,0.045018790737859096,0.039220600843832644,0.5739153534153133,0.11494243105357367,0.03239263840632793,0.04829474282537763,0.10231858579631352,-0.05729979505845442
schafer_phyllosphere_2022,taxon_panel,0.2,network_scores,191,62.717277486910994,0.6910994764397905,0.10231858579631352,0.07419162914192703,0.675435282004407,0.16371989028147796,0.08620241937229275,0.08550082106882782,0.10231858579631352,0.0
schafer_phyllosphere_2022,taxon_panel,0.2,selected_unsupervised,191,62.717277486910994,0.6910994764397905,0.166313017364179,0.08200874788704363,0.8250532543832378,0.13279011047028877,0.17612855998030674,0.08014541701769094,0.10231858579631352,0.06399443156786548
schafer_phyllosphere_2022,taxon_panel,0.4,combined,200,244.47,0.985,0.1637019152337839,0.11131214481605675,0.779819071590245,0.1384641048861104,0.10994216581221096,0.10348173831949829,0.1908956534513103,-0.02719373821752638
schafer_phyllosphere_2022,taxon_panel,0.4,direct_abundance,200,244.47,0.985,0.08391013313556411,0.07495639500567891,0.6732407352427576,0.13431708746781051,0.06330911539534209,0.07596517393560596,0.1908956534513103,-0.10698552031574618
schafer_phyllosphere_2022,taxon_panel,0.4,network_scores,200,244.47,0.985,0.1908956534513103,0.09540065573212671,0.8267920408003591,0.12355917551793204,0.14085626117176692,0.09700286085180378,0.1908956534513103,0.0
schafer_phyllosphere_2022,taxon_panel,0.4,selected_unsupervised,200,244.47,0.985,0.1765936346621551,0.10922808810522928,0.8251946147094518,0.14562872312589037,0.1482510040014398,0.0951547573705988,0.1908956534513103,-0.014302018789155185
schafer_phyllosphere_2022,taxon_panel,0.6,combined,193,539.1813471502591,0.9948186528497409,0.2527597805311787,0.19033115143575258,0.8453128674573489,0.11823305491442891,0.1550174722216882,0.15998895272264974,0.2594199156858,-0.006660135154621272
