"taxon_1","taxon_2","onenet_score"
"Leaf122","Leaf359",0.105555555555556
"Leaf122","Leaf361",0.122222222222222
"Leaf122","Leaf363",0.05
"Leaf122","Leaf369",0.0944444444444444
"Leaf122","Leaf371",0.127777777777778
"Leaf122","Leaf380",0.1
"Leaf122","Leaf391",0.283333333333333
"Leaf122","Leaf394",0.0722222222222222
"Leaf122","Leaf396",0.0333333333333333
"Leaf122","Leaf405",0.00555555555555556
"Leaf122","Leaf406",0.0611111111111111
"Leaf122","Leaf41",0.111111111111111
"Leaf122","Leaf412",0.116666666666667
"Leaf122","Leaf416",0.172222222222222
"Leaf122","Leaf42",0.0555555555555556
"Leaf122","Leaf420",0.177777777777778
"Leaf122","Leaf427",0.0166666666666667
"Leaf122","Leaf434",0.0166666666666667
"Leaf122","Leaf443",0.0222222222222222
"Leaf122","Leaf446",0.116666666666667
"Leaf122","Leaf454",0.127777777777778
"Leaf122","Leaf456",0.0333333333333333
"Leaf122","Leaf466",0.0166666666666667
"Leaf122","Leaf49",0.0722222222222222
"Leaf122","Leaf5",0.0388888888888889
"Leaf122","Leaf50",0.1
"Leaf122","Leaf51",0.0111111111111111
"Leaf122","Leaf53",0.0277777777777778
"Leaf122","Leaf58",0.322222222222222
"Leaf122","Leaf61",0.0833333333333333
"Leaf122","Leaf62",0.3
"Leaf122","Leaf64",0.0555555555555556
"Leaf122","Leaf67",0
"Leaf122","Leaf68",0.288888888888889
"Leaf122","Leaf69",0.0722222222222222
"Leaf122","Leaf70",0.177777777777778
"Leaf122","Leaf75",0.161111111111111
"Leaf122","Leaf76",0.594444444444444
"Leaf122","Leaf78",0.0277777777777778
"Leaf122","Leaf82",0.00555555555555556
"Leaf122","Leaf83",0.172222222222222
"Leaf122","Leaf85",0.127777777777778
"Leaf122","Leaf86",0.166666666666667
"Leaf122","Leaf87",0.311111111111111
"Leaf122","Leaf88",0.572222222222222
"Leaf122","Leaf90",0.933333333333333
"Leaf122","Leaf91",0.105555555555556
"Leaf122","Leaf99",0.155555555555556
"Leaf126","Leaf127",0.0277777777777778
"Leaf126","Leaf129",0.00555555555555556
"Leaf126","Leaf13",0
"Leaf126","Leaf130",0.0722222222222222
"Leaf126","Leaf131",0.00555555555555556
"Leaf126","Leaf132",0.0888888888888889
"Leaf126","Leaf137",0.00555555555555556
"Leaf126","Leaf141",0.0222222222222222
"Leaf126","Leaf145",0.00555555555555556
"Leaf126","Leaf15",0.0111111111111111
"Leaf126","Leaf151",0.272222222222222
"Leaf126","Leaf160",0.0277777777777778
"Leaf126","Leaf161",0.0444444444444444
"Leaf126","Leaf164",0.0277777777777778
"Leaf126","Leaf168",0.0111111111111111
"Leaf126","Leaf17",0.0555555555555556
"Leaf126","Leaf176",0.344444444444444
